ruleId,className,count_Homogeneous,count_Stable,count_Propagate,count_Chaotic,count_Complex
1903338008,Stable,0,1,0,0,0
3569956825,Propagate,0,0,1,0,0
2422482109,Propagate,0,0,1,0,0
4097554371,Stable,0,1,0,0,0
2302660057,Propagate,0,0,1,0,0
3837484693,Complex,0,0,0,0,1
919610337,Complex,0,0,0,0,1
702661687,Complex,0,0,0,0,1
1887124310,Propagate,0,0,1,0,0
2133882395,Propagate,0,0,1,0,0
1427268050,Chaotic,0,0,0,1,0
3976074405,Propagate,0,0,1,0,0
1304625926,Propagate,0,0,1,0,0
1141544520,Homogeneous,1,0,0,0,0
566141109,Stable,0,1,0,0,0
1092955776,Propagate,0,0,1,0,0
977220139,Propagate,0,0,1,0,0
391925774,Complex,0,0,0,0,1
4274593678,Propagate,0,0,1,0,0
3994209074,Propagate,0,0,1,0,0
2344204903,Propagate,0,0,1,0,0
519566252,Chaotic,0,0,0,1,0
1853344252,Propagate,0,0,1,0,0
3445744914,Complex,0,0,0,0,1
2266675945,Propagate,0,0,1,0,0
533968735,Stable,0,1,0,0,0
3990054633,Propagate,0,0,1,0,0
1108092201,Chaotic,0,0,0,1,0
3666422567,Complex,0,0,0,0,1
2511082461,Chaotic,0,0,0,1,0
838889126,Propagate,0,0,1,0,0
1216558858,Propagate,0,0,1,0,0
700075507,Chaotic,0,0,0,1,0
3831790167,Stable,0,1,0,0,0
4234788226,Propagate,0,0,1,0,0
4024957654,Homogeneous,1,0,0,0,0
3324933428,Complex,0,0,0,0,1
3687415849,Propagate,0,0,1,0,0
4256690456,Homogeneous,1,0,0,0,0
1485686547,Chaotic,0,0,0,1,0
4173444758,Stable,0,1,0,0,0
4022739721,Propagate,0,0,1,0,0
2709896281,Propagate,0,0,1,0,0
2036652203,Complex,0,0,0,0,1
3633091785,Propagate,0,0,1,0,0
4034493250,Stable,0,1,0,0,0
470813517,Chaotic,0,0,0,1,0
1537605547,Stable,0,1,0,0,0
3782301318,Chaotic,0,0,0,1,0
1865431939,Propagate,0,0,1,0,0
3452583213,Complex,0,0,0,0,1
2792623230,Complex,0,0,0,0,1
954696736,Propagate,0,0,1,0,0
1442640150,Stable,0,1,0,0,0
2844220526,Chaotic,0,0,0,1,0
1999937463,Propagate,0,0,1,0,0
1162664395,Propagate,0,0,1,0,0
4228070970,Propagate,0,0,1,0,0
1599440043,Chaotic,0,0,0,1,0
3197820984,Stable,0,1,0,0,0
189178144,Propagate,0,0,1,0,0
1935453162,Chaotic,0,0,0,1,0
2818952011,Chaotic,0,0,0,1,0
786188909,Propagate,0,0,1,0,0
589681805,Complex,0,0,0,0,1
990284158,Chaotic,0,0,0,1,0
1589160791,Chaotic,0,0,0,1,0
3671900106,Propagate,0,0,1,0,0
677468839,Complex,0,0,0,0,1
387132052,Chaotic,0,0,0,1,0
174577162,Chaotic,0,0,0,1,0
3270946152,Propagate,0,0,1,0,0
1233904721,Chaotic,0,0,0,1,0
4010931245,Propagate,0,0,1,0,0
1576225673,Complex,0,0,0,0,1
1374153376,Propagate,0,0,1,0,0
1839172727,Propagate,0,0,1,0,0
2779081911,Complex,0,0,0,0,1
871230025,Propagate,0,0,1,0,0
3396655875,Stable,0,1,0,0,0
2504325866,Stable,0,1,0,0,0
1357770891,Propagate,0,0,1,0,0
193083591,Propagate,0,0,1,0,0
3028239456,Propagate,0,0,1,0,0
96222029,Chaotic,0,0,0,1,0
1800061570,Propagate,0,0,1,0,0
1609617286,Propagate,0,0,1,0,0
1285308715,Chaotic,0,0,0,1,0
2505947805,Chaotic,0,0,0,1,0
2517966454,Chaotic,0,0,0,1,0
334378011,Chaotic,0,0,0,1,0
3198873482,Propagate,0,0,1,0,0
3942963921,Complex,0,0,0,0,1
1710415208,Chaotic,0,0,0,1,0
581092781,Chaotic,0,0,0,1,0
3417956394,Stable,0,1,0,0,0
3307940377,Chaotic,0,0,0,1,0
2909731452,Propagate,0,0,1,0,0
882583395,Propagate,0,0,1,0,0
796965754,Propagate,0,0,1,0,0
1249247038,Stable,0,1,0,0,0
958803997,Propagate,0,0,1,0,0
3551195617,Stable,0,1,0,0,0
2955071128,Stable,0,1,0,0,0
839720696,Complex,0,0,0,0,1
